bs,clip_size,device,dropout,embed_size,epochs,ffn_dim,head_size,lr,n_layers,newpath,pred_hid,sch_decay,to_predict,epoch,model,q_median,q_90,q_mean
32,50,cuda:0,0.1,64,50,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,832901096184518609.pt,1.606148234544016,4.55933800169787,2.728047873854277
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,6181587297381774371.pt,1.157173659587961,2.569588304383324,1.7435005338160132
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,42,6181587297381774371.pt,1.1530076425374711,2.5736512471584883,1.7393523309475076
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,46,6181587297381774371.pt,1.1666428411451355,2.50289946804783,1.7301516116900602
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,50,6181587297381774371.pt,1.1288895153577516,2.4838558895135874,1.708932216896821
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,62,6181587297381774371.pt,1.1300968177035853,2.4750229516747564,1.6814082109966548
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,74,6181587297381774371.pt,1.1154012607462438,2.4068408670178,1.6674919265832944
128,50,cpu,0.1,64,45,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,-4879465482170276877.pt,1.1514952236911737,2.5461934641507162,1.7091747684545087
